idinsert,folio,int,entidad,desc_ent,munici,desc_mun,locali,desc_loc,maq,completa,sexo,edad,meses,intsel,intsel2,eti001,eti002,eti003,eti101,eti102,eti102a_v1,eti102b_v1,eti102c_v1,eti102d_v1,eti102e_v1,eti102a_v2,eti102b_v2,eti102c_v2,eti102d_v2,eti102e_v2,eti102_1,eti103,eti104a,eti104b,eti104c,eti104d,eti1041a,eti1041b,eti1041c,eti1041d,eti1041e,eti1041f,eti1041g,eti1041esp,eti1042a,eti1042b,eti1042c,eti1042d,eti1042e,eti1042f,eti1042g,eti1042esp,eti105a,eti105b,eti105c,eti105d,eti105e,eti105f,eti105g,eti105h,eti105i,eti105j,eti105k,eti105l,eti105m,eti105n,eti105o,eti105p,eti105q,eti106a,eti106b,eti106c,eti106d,eti106e,eti107,eti108a,eti108b,eti108c,eti108d,eti108e,eti108f,eti108g,eti108esp,eti108h,eti109a,eti109b,eti109c,eti109d,eti109e,eti109f,eti109g,eti109esp,eti109h,eti110a,eti110b,eti110c,eti110d,eti110e,eti110f,eti110g,eti110esp,eti110h,eti111a,eti111b,eti111c,eti111d,TIEMPO_GEN,origen,c1,est_var,region_h,code_upm,rural,ponde_f,version,p6_figura1,p6_figura2,p6_ninguno,p6_NoSabeNoResp,p6_leen,edad1
1087574,14098000119700270111,1,14,JALISCO,098,TLAQUEPAQUE,0001,TLAQUEPAQUE,MC075,1,2,44,8,1,,8,8,1,1,1,,,,,,1,1,1,0,0,4,3,3,3,2,3,,,,,,,,,2,2,1,2,2,2,2,,4,2,4,4,1,1,4,4,4,4,4,4,1,1,3,1,3,3,3,3,3,5,3,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,4,4,4,4,2016/10/04,0,1,222,2,2o56,2,9404.538821695654,2,1,1,0,0,3,3
1007283,14101000114840100171,1,14,JALISCO,101,TONALÁ,0001,TONALÁ,MC129,1,2,38,3,1,10,8,8,1,1,1,,,,,,1,0,0,0,0,3,3,2,5,5,5,,,,,,,,,1,1,1,2,1,2,2,,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,1,1,,,,,,1,,1,1,,,,,,1,,1,,,,,,,1,5,4,4,2016/10/04,0,1,222,2,2o57,2,7427.174248928875,2,1,0,0,0,1,2
1077025,14104000200459990051,2,14,JALISCO,104,TOTATICHE,0002,ACASPULCO,MC043,1,2,48,6,1,,8,8,1,1,1,,,,,,0,1,0,0,0,2,2,3,4,2,3,,,,,,,,,1,2,1,2,1,1,2,,1,2,2,2,4,1,1,1,2,1,1,2,3,1,3,3,1,4,5,1,3,3,4,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,4,5,5,1,2016/10/04,0,1,211,2,2o15,1,903.7091278767643,2,0,1,0,0,1,3
1077718,14104000200459990151,2,14,JALISCO,104,TOTATICHE,0002,ACASPULCO,MC047,1,2,51,5,1,10,8,8,1,1,1,,,,,,1,0,0,0,0,2,3,4,4,3,3,,,,,,,,,1,2,1,1,1,2,2,,1,1,2,3,3,3,1,4,1,1,1,4,3,3,2,3,3,4,4,2,1,3,4,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,4,4,2,2,2016/10/04,0,1,211,2,2o15,1,2256.09167477527,2,1,0,0,0,1,4
1077014,14104008400459990031,1,14,JALISCO,104,TOTATICHE,0084,TEMASTIÁN (LA CANTERA),MC043,1,2,20,8,1,12,8,8,1,1,1,,,,,,0,1,0,0,0,2,2,3,3,3,3,,,,,,,,,1,1,1,2,1,1,2,,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,4,1,,,,1,,,,,1,,,,1,,,,,,,,,1,,,,,4,5,4,1,2016/10/04,0,1,211,2,2o15,1,4272.723116191509,2,0,1,0,0,1,1
398338,14120021801239990051,4,14,JALISCO,120,ZAPOPAN,0218,SAN RAFAEL TERCERO,MC045,1,1,22,7,1,,8,8,1,1,1,,,,,,1,0,0,0,0,2,4,3,4,1,3,,,,,,,,,1,2,1,1,1,2,2,,3,3,3,3,3,1,1,4,4,4,1,1,1,1,3,3,1,3,4,4,4,3,3,,,,1,,,,,,1,,1,1,1,,,,,1,,1,,1,,,,,5,5,4,2,2016/10/04,0,1,212,2,2o37,1,5035.117093323319,2,1,0,0,0,1,1
1077646,14120021801239990121,1,14,JALISCO,120,ZAPOPAN,0218,SAN RAFAEL TERCERO,MC047,1,2,27,6,1,10,8,8,1,1,1,,,,,,1,1,0,0,0,3,1,3,5,3,3,,,,,,,,,1,2,1,1,1,2,2,,5,3,3,5,5,3,5,1,5,2,1,3,2,3,5,1,1,3,3,5,3,5,2,1,,,1,1,,,,,,,,,1,,,,,,,,,1,,,,,1,5,2,2,2016/10/04,0,1,212,2,2o37,1,1638.9577458572574,2,1,1,0,0,2,1
1077108,14120035601239990041,1,14,JALISCO,120,ZAPOPAN,0356,EJIDO COPALITA,MC043,1,2,50,2,1,10,8,8,1,1,1,,,,,,1,0,0,0,0,2,4,3,4,4,4,,,,,,,,,1,1,1,1,1,1,2,,3,4,3,5,3,1,4,5,4,4,5,4,5,5,4,4,4,4,3,4,5,5,5,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,5,5,5,5,2016/10/04,0,1,212,2,2o37,1,293.44916302557914,2,1,0,0,0,1,4
1077641,14120035601239990081,1,14,JALISCO,120,ZAPOPAN,0356,EJIDO COPALITA,MC047,1,1,52,7,1,10,8,8,1,1,1,,,,,,1,0,0,0,0,4,4,3,3,3,4,,,,,,,,,1,2,1,2,1,2,2,,3,3,3,4,4,2,3,3,3,3,1,1,2,3,3,2,2,4,4,2,4,2,4,1,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,1,4,4,2,2016/10/04,0,1,212,2,2o37,1,1144.8868574375922,2,1,0,0,0,1,4
398358,14120074801239990061,1,14,JALISCO,120,ZAPOPAN,0748,VILLAS DEL VALLE,MC045,1,1,65,7,1,,8,8,1,1,1,,,,,,0,1,0,0,0,4,3,3,1,4,3,,,,,,,,,1,1,1,1,1,1,2,,3,3,3,4,4,4,4,4,4,4,2,4,4,3,4,4,3,3,3,3,3,3,4,1,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,4,4,4,4,2016/10/04,0,1,212,2,2o37,1,4871.5534030585295,2,0,1,0,0,1,5
