folio,int,idinsert,entidad,munici,locali,sexo,edad,intsel,intsel2,completa,cam00,cam01,cam02,cam03,cam04a,cam04b,cam04c,cam04d,cam04e,cam04f,cam04esp,cam04g,cam05a,cam05b,cam05c,cam05d,cam05e,cam05f,cam05g,cam05esp,cam05h,cam05i,cam06,cam07,cam08,cam09,cam10,cam11,cam12,cam13,TIEMPO_GEN,region_h,code_upm,est_var,ponde_f,h218a,h218b,gp_edad,CHECATE,MIDETE,MUEVETE,Area
010010001262A0170131,2,1063900,01,001,0001,2,28,1,12,1,4,1,4,2,,,,,,,,,1,1,0,0,0,0,0,,0,0,1,3,1,1,1,3,3,1,2016/10/04,2,2o50,222,9759.186374184077,10,4,1,0,0,1,1
010010001262A0170161,1,1063903,01,001,0001,2,48,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,1,2,2,2,3,3,2016/10/04,2,2o50,222,3115.6794148869435,2,3,2,0,0,0,1
010010001262A0170191,1,1063889,01,001,0001,1,49,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,4,1,3,3,3,3,2016/10/04,2,2o50,222,9081.87305556161,8,3,2,1,1,1,1
010010001262A0220031,1,1063895,01,001,0001,2,63,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,1,1,2,1,3,2,2016/10/04,2,2o50,222,5213.9012859377235,2,6,3,0,0,1,1
010010001262A0220121,3,1063896,01,001,0001,2,24,1,13,1,4,1,2,2,,,,,,,,,1,1,0,0,0,0,0,,0,0,2,3,1,2,3,2,3,3,2016/10/04,2,2o50,222,23068.09244048931,10,4,1,1,0,0,1
010010001262A0280211,1,1065250,01,001,0001,1,39,1,12,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,4,1,99,2,3,2,2016/10/04,2,2o50,222,16343.442787802285,3,2,1,0,0,1,1
010010001262A0280291,1,1065272,01,001,0001,2,45,1,10,1,4,2,,,,,,,,,,,,,,,,,,,,,,2,2,1,3,3,3,1,2016/10/04,2,2o50,222,5606.875140272393,3,3,2,0,0,1,1
010010001262A0280361,1,1065258,01,001,0001,1,56,1,10,1,4,2,,,,,,,,,,,,,,,,,,,,,,1,4,1,3,3,3,3,2016/10/04,2,2o50,222,19953.09796410743,2,6,2,0,1,1,1
010010001262A0280431,2,1065253,01,001,0001,2,74,1,,1,4,1,1,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,3,2,1,3,3,3,1,2016/10/04,2,2o50,222,13103.36451590343,0,0,3,1,0,1,1
010010001262A0280511,3,1065260,01,001,0001,2,21,1,,1,4,1,2,2,,,,,,,,,1,1,0,0,0,0,0,,0,0,1,3,4,1,3,3,3,2,2016/10/04,2,2o50,222,35124.62752698407,10,4,1,1,1,1,1
01001000127230010011,1,1064512,01,001,0001,1,60,1,10,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,5,5,3,2,99,3,2016/10/04,2,2o71,223,7269.105577646321,2,2,3,1,1,0,1
01001000127230010131,1,1064487,01,001,0001,2,52,1,,1,4,1,1,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,3,1,1,3,3,1,1,2016/10/04,2,2o71,223,1599.0973821271812,2,6,2,1,0,0,1
01001000127230010191,4,1064482,01,001,0001,1,23,1,10,1,4,1,4,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,2,1,1,3,2,3,2,2016/10/04,2,2o71,223,28331.736717908476,10,2,1,0,0,1,1
01001000127230070011,2,1063881,01,001,0001,1,47,1,10,1,4,1,2,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,3,1,1,3,3,3,2,2016/10/04,2,2o71,223,3742.5802179353104,4,3,2,1,0,1,1
01001000127230070101,3,1063883,01,001,0001,1,23,1,10,1,4,1,1,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,2,1,1,3,3,3,1,2016/10/04,2,2o71,223,34504.710603494445,10,3,1,0,0,1,1
01001000127230070191,2,1063875,01,001,0001,2,29,1,10,1,4,1,2,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,2,1,1,3,3,3,1,2016/10/04,2,2o71,223,11661.485407436649,4,3,1,0,0,1,1
01001000127230070361,1,1063878,01,001,0001,2,65,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,4,4,5,3,2,3,1,2016/10/04,2,2o71,223,2272.986814945433,2,2,3,0,0,0,1
01001000127230070541,1,1063905,01,001,0001,2,30,1,10,1,4,1,2,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,1,4,1,3,2,3,3,2016/10/04,2,2o71,223,5830.742703718324,3,3,1,0,0,1,1
01001000127230130011,1,1065233,01,001,0001,1,47,1,10,1,4,2,,,,,,,,,,,,,,,,,,,,,,4,3,1,1,3,3,1,2016/10/04,2,2o71,223,4785.594377032036,4,3,2,0,0,1,1
01001000127230130051,1,1065255,01,001,0001,1,41,1,13,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,1,1,3,3,3,1,2016/10/04,2,2o71,223,4785.594377032036,4,3,2,1,0,1,1
01001000127230130091,1,1065271,01,001,0001,1,47,1,10,1,4,1,1,2,,,,,,,,,0,0,0,1,0,0,0,,0,0,1,3,1,1,3,3,3,2,2016/10/04,2,2o71,223,2392.797188516018,0,0,2,1,0,1,1
01001000127230130161,1,1065239,01,001,0001,2,30,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,4,4,4,3,3,1,3,2016/10/04,2,2o71,223,7455.703785082447,2,2,1,0,1,0,1
01001000127230130241,1,1065257,01,001,0001,2,79,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,5,1,3,2,3,1,2016/10/04,2,2o71,223,2280.4184628099447,0,0,3,1,1,1,1
01001000127230220081,3,1064477,01,001,0001,1,26,1,13,1,4,1,2,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,3,1,1,3,3,3,2,2016/10/04,2,2o71,223,40726.87153199344,10,4,1,1,0,1,1
01001000127230220271,1,1064527,01,001,0001,2,36,1,12,1,4,1,1,2,,,,,,,,,1,1,0,0,0,0,0,,0,0,1,2,1,1,1,2,3,2,2016/10/04,2,2o71,223,3946.914059671714,7,3,1,0,0,1,1
01001000127230220331,1,1064499,01,001,0001,2,47,1,10,1,4,1,1,2,,,,,,,,,0,0,0,0,0,0,1,EN EL SEGURO,0,0,1,3,4,1,3,3,3,3,2016/10/04,2,2o71,223,3946.914059671714,2,6,2,1,1,1,1
01001000127230220391,2,1064472,01,001,0001,2,67,1,12,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,5,1,1,1,3,2,2016/10/04,2,2o71,223,10525.008289892054,5,3,3,0,0,1,1
01001000127230320011,1,1063904,01,001,0001,2,45,1,,1,4,1,4,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,3,4,4,3,3,3,3,2016/10/04,2,2o71,223,5370.581007881747,2,6,2,1,1,0,1
01001000127230320101,1,1063868,01,001,0001,1,61,1,15,1,4,2,,,,,,,,,,,,,,,,,,,,,,5,5,1,3,2,3,2,2016/10/04,2,2o71,223,9478.970518651216,2,1,3,0,1,1,1
01001000127230320181,1,1063870,01,001,0001,2,30,1,,1,4,1,2,2,,,,,,,,,0,1,0,0,0,0,1,VIDEOS EN EL IMSS,0,0,1,2,4,1,1,2,1,2,2016/10/04,2,2o71,223,9364.619597414634,3,3,1,0,0,0,1
01001000127230320261,1,1063893,01,001,0001,2,36,1,,1,4,1,2,1,0,0,0,0,0,1,EN SU TRABAJO (SENSATA),0,1,1,0,0,0,0,0,,0,0,1,2,1,1,3,2,3,1,2016/10/04,2,2o71,223,5370.581007881747,4,3,1,0,0,1,1
01001000127230320351,1,1063918,01,001,0001,2,34,1,,1,4,1,2,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,3,1,1,3,2,3,1,2016/10/04,2,2o71,223,9364.619597414634,3,3,1,1,0,1,1
01001000127230320431,1,1063865,01,001,0001,2,46,1,12,1,4,1,4,1,1,0,0,0,0,0,,0,0,1,1,0,0,0,0,,0,0,1,3,4,1,3,3,3,3,2016/10/04,2,2o71,223,5370.581007881747,3,3,2,1,1,1,1
01001000127230320511,1,1063887,01,001,0001,2,29,1,10,1,4,1,2,2,,,,,,,,,1,1,0,0,0,0,0,,0,0,99,3,3,2,3,2,3,2,2016/10/04,2,2o71,223,9364.619597414634,10,4,1,1,0,0,1
01001000127230380011,1,1065191,01,001,0001,1,47,1,10,1,4,1,2,1,0,1,0,0,0,0,,0,1,0,0,0,0,0,0,,0,0,1,3,1,1,2,3,3,2,2016/10/04,2,2o71,223,3320.1379901407945,3,3,2,0,0,1,1
