idinsert,folio,integrante,entidad,munici,locali,maq,sexo,edad,meses,intsel,intsel2,perc101,perc102,perc103,perc104,perc104aj,perc105aj,perc105,perc106,perc107,perc108,perc109,perc110,perc110aj,perc111,perc111aj,perc112,perc113,perc114,perc115,perc116,perc117,perc118,perc119,perc120,perc121,perc122,perc123,perc124,perc125,perc126,perc127,perc128,perc129,perc130,perc131,perc132,perc133,perc134,perc135,perc136,perc137,perc138,perc139,perc140,perc141,perc142,perc143,perc144,perc145,perc146,perc147,perc148,perc149,perc150,perc151,perc152,perc153,perc154,perc155,perc156,perc157,perc158,perc159,perc160,perc161,perc162,perc163,perc164,tiempo_gen,est_var,region_h,code_upm,rural,c1,ponde_f,etapa_af,etapa_fv
1065272,010010001262A0280291,1,01,001,0001,MC035,2,45,7,1,10,88,2,1,,2,2,,1,2,1,,2,2,2,2,1,1,1,2,3,2,1,1,2,2,1,1,2,1,2,1,1,1,2,1,2,1,88,88,4,3,3,2,1,1,1,1,1,1,4,,2,1,2,1,1,1,88,1,1,1,2,2,1,1,1,2,2,2016/10/25,222,2,2o50,2,1,5529.960432079713,2,3
1065258,010010001262A0280361,1,01,001,0001,MC035,1,56,2,1,10,1,2,2,,2,2,,2,2,1,,2,2,2,2,2,1,2,1,3,2,2,2,1,2,2,1,2,1,1,1,1,1,1,4,2,2,3,3,4,2,3,3,1,1,1,1,1,2,1,3,3,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2016/10/25,222,2,2o50,2,1,17503.704362304277,1,3
1065260,010010001262A0280511,3,01,001,0001,MC035,2,21,0,1,,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,3,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,3,3,3,4,3,4,2,2,1,1,1,1,1,1,3,3,1,2,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2016/10/25,222,2,2o50,2,1,33762.20243695781,5,5
1064487,01001000127230010131,1,01,001,0001,MC033,2,52,9,1,,2,1,,2,2,1,1,1,2,1,,2,2,1,1,1,2,2,4,3,2,2,1,2,2,1,2,1,1,1,2,1,1,2,2,2,2,2,2,4,3,3,3,1,1,1,1,2,2,3,2,3,3,2,3,2,1,1,1,1,1,2,2,1,1,2,1,2,2016/10/25,223,2,2o71,2,1,2090.3280794972984,3,3
1064482,01001000127230010191,4,01,001,0001,MC033,1,23,7,1,10,1,1,,1,1,1,1,1,1,1,,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,1,3,2,3,2,2,3,2,1,1,1,1,1,1,2,3,3,2,2,2,2,1,2,1,1,1,2,2,1,2,2,2,1,2016/10/25,223,2,2o71,2,1,30274.55597243248,5,3
1063881,01001000127230070011,2,01,001,0001,MC031,1,47,10,1,10,1,1,,1,1,1,1,1,1,2,1,,2,,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,2,1,1,88,4,3,3,3,1,1,1,1,1,1,3,3,2,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2016/10/25,223,2,2o71,2,1,3285.7669304931133,5,2
1063883,01001000127230070101,3,01,001,0001,MC031,1,23,10,1,10,1,1,,1,1,1,1,1,2,1,,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,4,3,1,3,2,4,2,2,2,1,1,1,1,2,1,1,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2016/10/25,223,2,2o71,2,1,36870.83509489825,5,3
1063875,01001000127230070191,2,01,001,0001,MC031,2,29,10,1,10,1,1,,2,2,2,2,1,1,1,,2,2,2,2,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,2,1,1,2,1,2,3,3,2,3,2,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2016/10/25,223,2,2o71,2,1,11538.356295905734,3,3
1063905,01001000127230070541,1,01,001,0001,MC031,2,30,2,1,10,1,1,,1,1,1,1,1,1,1,,1,1,1,1,88,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,3,1,3,4,1,2,2,2,2,1,2,3,1,3,1,2,2,2,1,1,1,1,1,2,1,1,2,1,2,1,2016/10/25,223,2,2o71,2,1,5769.178147952867,5,5
1065233,01001000127230130011,1,01,001,0001,MC035,1,47,7,1,10,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,1,4,2,4,2,1,1,1,1,2,1,3,3,4,1,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2016/10/25,223,2,2o71,2,1,4201.472468499391,5,5
