folio,entidad,desc_ent,munici,desc_mun,locali,desc_loc,code_upm,indiceF,nseF,nse5F,est_var,region_h,area,ponde_h,nd102_hog,nd103_hog,nd104_hog,nd105_hog,nd107_hog,nd109_hog,nd110_hog,nd111_hog,nd113_hog,nd118_hog,nd116_hog,nd126_hog,nd131_hog,nd142_hog,total_prog_nuevo,prog_recod,cat_Programas
010010001262A0170081,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,0.5342598119320887,2,4,222,2,1,3110.130761872751,0,0,0,0,,0,0,,0,1,0,1,,1,2,2,1
010010001262A0170131,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,2.0204042967248688,3,5,222,2,1,3110.130761872751,0,0,,0,1,0,0,1,0,0,,,,1,1,1,1
010010001262A0170161,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,0.6190975504865082,2,4,222,2,1,3110.130761872751,0,0,,0,1,0,0,,0,1,,,,0,1,1,1
010010001262A0170191,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,1.6326103307730842,3,5,222,2,1,3110.130761872751,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0
010010001262A0220031,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,1.493388627127593,3,5,222,2,1,4901.008558573841,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001262A0220121,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,1.8623067997688652,3,5,222,2,1,4901.008558573841,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0
010010001262A0280211,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,1.1388688862845155,3,4,222,2,1,5596.889965129333,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0
010010001262A0280291,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,0.2279439430657116,2,3,222,2,1,5596.889965129333,0,0,,0,1,0,0,,0,1,,,,0,1,1,1
010010001262A0280361,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,0.6190975504865082,2,4,222,2,1,5596.889965129333,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001262A0280431,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,0.2279439430657116,2,3,222,2,1,5596.889965129333,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001262A0280511,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,1.192293303660795,3,4,222,2,1,5596.889965129333,0,0,0,1,1,0,0,,0,1,0,0,,0,1,1,1
01001000127230010011,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,2.2221288907937207,3,5,223,2,1,1884.5063525677067,0,0,0,1,1,0,0,1,0,0,0,,,0,0,0,0
01001000127230010041,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,1.8161344121736172,3,5,223,2,1,1884.5063525677067,0,0,0,0,0,0,0,,0,0,,,,1,1,1,1
01001000127230010131,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,1.1073445362677221,3,4,223,2,1,1884.5063525677067,0,0,,,,0,0,,0,0,0,,,0,0,0,0
01001000127230010191,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,1.5982877822808983,3,5,223,2,1,1884.5063525677067,0,0,0,0,,0,0,,0,0,0,,,1,1,1,1
01001000127230070011,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,-0.2624604409769161,2,3,223,2,1,2295.106260983067,0,0,,,,0,0,,0,0,1,,,0,1,1,1
01001000127230070101,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,2.141690101708847,3,5,223,2,1,2295.106260983067,0,0,0,,,0,0,,0,0,0,,,0,0,0,0
01001000127230070191,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,0.8809591697130609,3,4,223,2,1,2295.106260983067,0,0,0,1,1,0,0,0,0,0,0,,,0,0,0,0
01001000127230070361,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,0.7502446634796497,3,4,223,2,1,2295.106260983067,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0
01001000127230070541,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,0.8517850515785339,3,4,223,2,1,2295.106260983067,0,0,0,0,0,0,0,,0,0,,,,1,1,1,1
01001000127230130011,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,1.390519607677475,3,5,223,2,1,2934.7260386340854,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0
01001000127230130051,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,0.2565032189910812,2,3,223,2,1,2934.7260386340854,0,0,,0,0,0,0,,0,0,,,,0,0,0,0
01001000127230130091,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,0.7502446634796497,3,4,223,2,1,2934.7260386340854,0,0,,,,0,0,,0,0,,,,0,0,0,0
01001000127230130131,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,0.5746433008466839,2,4,223,2,1,2934.7260386340854,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
01001000127230130161,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,-0.23662338328832977,2,3,223,2,1,2934.7260386340854,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0
01001000127230130241,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,1.4193476974623065,3,5,223,2,1,2934.7260386340854,0,0,,,,0,0,,0,0,1,,,1,2,2,1
01001000127230220081,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,2.789911264947576,3,5,223,2,1,2708.9778818160785,0,0,0,1,1,0,0,,0,0,,,,0,0,0,0
01001000127230220141,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,1.3796078504443332,3,5,223,2,1,2708.9778818160785,0,0,1,0,0,0,0,0,0,0,,,,0,1,1,1
01001000127230220201,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,2.346952162641017,3,5,223,2,1,2708.9778818160785,0,0,0,,,0,0,,0,0,,,,0,0,0,0
01001000127230220271,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,2.085705385623622,3,5,223,2,1,2708.9778818160785,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0
01001000127230220331,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,1.018875297294064,3,4,223,2,1,2708.9778818160785,0,0,1,0,0,0,0,,0,0,,,,1,2,2,1
01001000127230220391,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,2.647743695289863,3,5,223,2,1,2708.9778818160785,0,0,,0,0,0,0,,0,0,1,,,0,1,1,1
01001000127230320011,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,1.99243242179794,3,5,223,2,1,3686.1165312687995,0,0,,0,1,0,0,,0,0,,,,1,1,1,1
01001000127230320101,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,0.9625968346650141,3,4,223,2,1,3686.1165312687995,0,0,,,,0,0,,0,0,0,,,0,0,0,0
01001000127230320181,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,0.02462339372906555,2,3,223,2,1,3686.1165312687995,0,0,0,0,0,0,0,0,0,1,,0,0,0,1,1,1
01001000127230320261,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,2.354042272894212,3,5,223,2,1,3686.1165312687995,0,0,0,0,0,0,0,0,0,0,,,,1,1,1,1
01001000127230320351,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,0.3872177252244925,2,3,223,2,1,3686.1165312687995,0,0,,,,,0,0,0,0,,,,1,1,1,1
01001000127230320431,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,0.5369820301688719,2,4,223,2,1,3686.1165312687995,0,0,0,1,1,0,0,,0,1,,1,,0,1,1,1
01001000127230320511,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,1.603782240988253,3,5,223,2,1,3686.1165312687995,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0
01001000127230380011,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,1.8623067997688652,3,5,223,2,1,2036.047070409537,0,0,0,0,1,0,0,,0,1,,0,,0,1,1,1
01001000127230380101,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,1.3206071695785,3,4,223,2,1,2036.047070409537,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,2,1
01001000127230380181,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,0.5369820301688719,2,4,223,2,1,2036.047070409537,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
01001000127230380271,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,1.374085771992472,3,5,223,2,1,2036.047070409537,0,0,0,0,1,0,0,,0,1,,1,,0,1,1,1
01001000127230380351,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,2.0746589709542294,3,5,223,2,1,2036.047070409537,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0
01001000127230380431,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,1.8115504155916762,3,5,223,2,1,2036.047070409537,0,0,,,,0,0,,0,0,,,,0,0,0,0
01001000127230380521,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,0.36138066753590614,2,3,223,2,1,2036.047070409537,1,0,,0,0,0,0,,0,0,1,,,0,2,2,1
02002000143500020021,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,1.7289975083637028,3,5,122,1,1,3223.357477243676,0,0,0,1,1,0,0,,0,1,,1,,0,1,1,1
02002000143500020091,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,0.41417313174478665,2,3,122,1,1,3223.357477243676,0,0,,0,0,0,0,0,0,0,,,,0,0,0,0
02002000143500020111,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,-0.3304263692563063,2,3,122,1,1,3223.357477243676,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0
02002000143500020131,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,2.4962098425519246,3,5,122,1,1,3223.357477243676,0,0,0,0,,0,0,,0,1,0,0,,0,1,1,1
02002000143500020151,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,0.7794896814769968,3,4,122,1,1,3223.357477243676,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0
02002000143500070081,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,-0.7450946249458972,1,2,122,1,1,3264.289000764231,0,0,,,,0,0,,0,0,,,,0,0,0,0
02002000143500070121,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,1.009236926423716,3,4,122,1,1,3264.289000764231,0,0,,1,1,0,0,,0,0,,,,0,0,0,0
02002000143500070161,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,1.99243242179794,3,5,122,1,1,3264.289000764231,0,0,,1,1,0,0,0,0,0,,,,0,0,0,0
02002000143500070241,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,2.2221288907937207,3,5,122,1,1,3264.289000764231,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0
02002000143500070281,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,-0.41743615137145895,2,2,122,1,1,3264.289000764231,0,0,,0,0,0,0,,0,0,0,,,0,0,0,0
02002000143500130021,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,0.9928030907387129,3,4,122,1,1,2738.543547739546,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
02002000143500130051,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,1.3926450099393395,3,5,122,1,1,2738.543547739546,0,0,,,,0,0,,0,0,1,,,0,1,1,1
02002000143500130071,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,-1.309832645563711,1,1,122,1,1,2738.543547739546,1,0,,,,0,0,,1,0,1,,,0,3,3,1
02002000143500130091,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,-1.910309866259968,1,1,122,1,1,2738.543547739546,0,0,,0,0,0,0,,0,0,1,,,0,1,1,1
02002000143500130131,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,1.7360332652791923,3,5,122,1,1,2738.543547739546,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0
02002000143500130151,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,-0.8721519574514925,1,2,122,1,1,2738.543547739546,0,0,,,,0,0,,0,0,1,,,0,1,1,1
02002000143500130171,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,-0.64341621713909,2,2,122,1,1,2738.543547739546,0,0,,1,1,0,0,,0,0,0,,,0,0,0,0
02002000143500130191,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,-0.2508633611391585,2,3,122,1,1,2738.543547739546,0,0,,,,0,0,,0,0,,,,0,0,0,0
02002000143500190011,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,-1.1383535919042949,1,2,122,1,1,2068.3210478980254,0,0,0,1,1,0,0,,0,0,,,,0,0,0,0
02002000143500190021,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,1.4507068336027538,3,5,122,1,1,2068.3210478980254,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
02002000143500190041,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,0.23577190889674307,2,3,122,1,1,2068.3210478980254,0,0,,,,0,0,,0,0,0,,,0,0,0,0
02002000143500190051,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,0.3883360740562003,2,3,122,1,1,2068.3210478980254,0,0,,,,0,0,,0,0,0,,,0,0,0,0
02002000143500270021,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,1.2539479505471864,3,4,122,1,1,3309.3136766368407,0,0,,0,0,0,0,,0,0,0,,,0,0,0,0
02002000143500270031,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,0.19467421137270968,2,3,122,1,1,3309.3136766368407,0,0,0,0,0,0,0,,0,1,1,0,,0,2,2,1
02002000143500340011,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,-0.5825450956939947,2,2,122,1,1,2954.7443541400357,0,0,0,1,1,0,0,,0,0,,,,0,0,0,0
02002000143500340031,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,0.3348298518977217,2,3,122,1,1,2954.7443541400357,0,0,,,,0,0,,0,0,0,,,0,0,0,0
02002000143500340051,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,0.21197781154416268,2,3,122,1,1,2954.7443541400357,0,0,0,0,,0,,0,0,,0,,,,0,0,0
02002000143500340061,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,0.9051163777579628,3,4,122,1,1,2954.7443541400357,0,0,,,,0,0,,0,0,,,,0,0,0,0
02002000143500340081,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,-0.43750511170916895,2,2,122,1,1,2954.7443541400357,0,0,,1,1,1,0,,0,0,,,,0,1,1,1
02002000143500340091,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1a45,0.5672485391302857,2,4,122,1,1,2954.7443541400357,0,0,,,,0,0,,0,0,0,,,0,0,0,0
02002012435799990011,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1o01,-1.1724237799149428,1,2,111,1,2,220.68464147966523,0,0,,,,0,0,,0,0,0,,,0,0,0,0
02002012435799990021,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1o01,-0.5023640203237704,2,2,111,1,2,220.68464147966523,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0
02002012435799990031,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1o01,-0.6786823354263742,1,2,111,1,2,220.68464147966523,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0
02002012435799990041,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1o01,0.12156721858694389,2,3,111,1,2,220.68464147966523,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
02002012435799990051,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1o01,-0.09982018836464177,2,3,111,1,2,220.68464147966523,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0
02002012435799990061,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1o01,0.6946519429225774,2,4,111,1,2,220.68464147966523,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0
02002012435799990071,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1o01,-0.018588421938068117,2,3,111,1,2,220.68464147966523,0,0,,,,0,0,,0,0,1,,,0,1,1,1
02002012435799990081,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1o01,0.46237700372148693,2,4,111,1,2,220.68464147966523,1,1,0,1,1,1,0,1,0,0,,,,0,3,3,1
02002012435799990091,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1o01,-0.32698561100480644,2,3,111,1,2,220.68464147966523,0,0,0,1,1,0,0,,0,0,,,,0,0,0,0
02002012435799990101,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1o01,-0.8624562731759667,1,2,111,1,2,220.68464147966523,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
02002012435799990111,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1o01,-0.32698561100480644,2,3,111,1,2,220.68464147966523,0,0,1,0,0,0,0,0,0,0,,,,0,1,1,1
02002012435799990121,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1o01,-1.7075826414036877,1,1,111,1,2,220.68464147966523,0,0,,,,0,0,,0,0,0,,,0,0,0,0
02002012435799990131,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1o01,0.4760869594300212,2,4,111,1,2,220.68464147966523,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
