folio,entidad,desc_ent,munici,desc_mun,locali,desc_loc,sa101,sa102,sa103,sa104,sa105,sa106,sa107,sa108,sa108a,sa109,sa110,sa111,sa112,sa113,sa114,sa115,code_upm,est_var,region_h,ponde_f,sum_total,niv_seg,area
02002000143500190041,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,0,0,0,0,0,0,0,0,0,,,,,,,,1a45,122,1,2297.039894266021,0,0,1
02002000143500190051,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,0,0,0,0,0,0,0,0,0,,,,,,,,1a45,122,1,2297.039894266021,0,0,1
02002000143500270021,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,0,0,0,0,0,0,0,0,0,,,,,,,,1a45,122,1,3675.2638308256337,0,0,1
02002000143500270031,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1a45,122,1,3675.2638308256337,3,1,1
02002000143500340011,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1,1,1,1,1,1,1,1,0,,,,,,,,1a45,122,1,3281.4855632371723,8,3,1
02002000143500340031,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1,0,1,1,0,0,1,0,0,,,,,,,,1a45,122,1,3281.4855632371723,4,2,1
02002000143500340061,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1,0,0,0,0,0,0,0,0,,,,,,,,1a45,122,1,3281.4855632371723,1,1,1
02002000143500340081,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1,1,1,1,1,1,0,1,0,,,,,,,,1a45,122,1,3281.4855632371723,7,3,1
02002000143500340091,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,0,0,0,1,0,0,0,0,0,,,,,,,,1a45,122,1,3281.4855632371723,1,1,1
02002012435799990011,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1,0,0,0,0,0,1,0,0,,,,,,,,1o01,111,1,233.2956758311965,2,1,2
02002012435799990021,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1,0,0,0,0,1,0,0,0,,,,,,,,1o01,111,1,233.2956758311965,2,1,2
02002012435799990031,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1o01,111,1,233.2956758311965,3,1,2
02002012435799990041,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1o01,111,1,233.2956758311965,7,2,2
02002012435799990051,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1o01,111,1,233.2956758311965,4,1,2
02002012435799990061,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1o01,111,1,233.2956758311965,1,1,2
02002012435799990071,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1,0,0,0,0,0,0,0,0,,,,,,,,1o01,111,1,233.2956758311965,1,1,2
02002012435799990081,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1o01,111,1,233.2956758311965,1,1,2
02002012435799990091,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),0,0,0,0,0,0,0,0,0,,,,,,,,1o01,111,1,233.2956758311965,0,0,2
02002012435799990101,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1o01,111,1,233.2956758311965,2,1,2
02002012435799990111,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1o01,111,1,233.2956758311965,0,0,2
02002012435799990121,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),1,0,1,1,0,0,0,0,0,,,,,,,,1o01,111,1,233.2956758311965,3,1,2
02002012435799990131,02,BAJA CALIFORNIA,002,MEXICALI,0124,CAMPO LA CURVA (COLONIA SILVA),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1o01,111,1,233.2956758311965,0,0,2
