folio_sel,folio,code_upm,ponde_f,sexo,edad,rural,intp,dias1,gpo_diversidad1,recomendable1,dias2,gpo_diversidad2,recomendable2,dias3,gpo_diversidad3,recomendable3,dias4,gpo_diversidad4,recomendable4,dias5,gpo_diversidad5,recomendable5,dias6,gpo_diversidad6,recomendable6,dias7,gpo_diversidad7,recomendable7,dias8,gpo_diversidad8,recomendable8,dias9,gpo_diversidad9,recomendable9,dias10,gpo_diversidad10,recomendable10,dias11,gpo_diversidad11,recomendable11,dias12,gpo_diversidad12,recomendable12,dias13,gpo_diversidad13,recomendable13,est_var,region_h,diversidad
010010001262A0170161,010010001262A0170161.01,2o50,3070.27001953125,2,48,2,1,15.5,1,1,5.5,1,1,,0,,,0,,,0,,,0,,,0,,7,1,0,7,1,1,3,1,0,3,1,1,,0,,18,1,1,222,2,7
010010001262A0170191,010010001262A0170191.01,2o50,9376.0498046875,1,49,2,1,4,0,1,3,1,1,5,1,1,,0,,,0,,,0,,,0,,10,1,0,7,1,1,,0,,6,1,1,3,1,1,10,1,1,222,2,7
010010001262A0220031,010010001262A0220031.01,2o50,4838.18994140625,2,63,2,1,,0,,,0,,1,0,1,,0,,1,0,0,,0,,,0,,,0,,7,1,1,,0,,7,1,1,,0,,3,0,1,222,2,2
010010001262A0220121,010010001262A0220121.03,2o50,21623.830078125,2,24,2,3,14,1,1,3,1,1,3,1,1,,0,,,0,,,0,,2,0,0,2,0,0,7,1,1,3,1,0,7,1,1,,0,,16,1,1,222,2,7
010010001262A0220151,010010001262A0220151.01,2o50,4838.18994140625,2,45,2,1,13,1,1,3,1,1,8,1,1,7,1,0,,0,,11,1,0,,0,,1,0,0,7,1,1,1,0,0,6,1,1,3,1,1,15,1,1,222,2,9
010010001262A0280211,010010001262A0280211.01,2o50,16872.830078125,1,39,2,1,13,1,1,3,1,1,6,1,1,,0,,2,0,0,2,0,0,,0,,15.5,1,0,7,1,1,3,1,0,7,1,1,3,1,1,20,1,1,222,2,9
010010001262A0280291,010010001262A0280291.01,2o50,5525.16015625,2,45,2,1,7,1,1,4,1,1,3,1,1,,0,,,0,,,0,,7,1,0,10,1,0,7,1,1,,0,,,0,,5.5,1,1,3,0,1,222,2,7
010010001262A0280361,010010001262A0280361.01,2o50,16872.830078125,1,56,2,1,9,1,1,9,1,1,5,1,1,,0,,1,0,0,9,1,0,3,1,0,7,1,0,3,0,1,,0,,3,1,1,7,1,1,13,1,1,222,2,9
010010001262A0280431,010010001262A0280431.02,2o50,12795.009765625,2,74,2,2,,0,,,0,,3,1,1,,0,,,0,,1,0,0,1,0,0,,0,,7,1,1,,0,,,0,,,0,,,0,,222,2,2
010010001262A0280511,010010001262A0280511.03,2o50,32925.53125,2,21,2,3,7,1,1,3,1,1,2,0,1,3,1,0,,0,,4,1,0,,0,,9.5,1,0,7,1,1,3,1,0,3,1,1,3,1,1,4,0,1,222,2,9
01001000127230010011,01001000127230010011.01,2o71,5401.97021484375,1,60,2,1,2,0,1,7,1,1,1,0,1,,0,,1,0,0,1,0,0,1,0,0,7,1,0,7,1,1,,0,,6,1,1,,0,,1,0,1,223,2,4
01001000127230010071,01001000127230010071.02,2o71,13378.990234375,2,32,2,2,6,0,1,8.5,1,1,,0,,,0,,1,0,0,16,1,0,10,1,0,11,1,0,7,1,1,,0,,6,1,1,3,1,1,5,0,1,223,2,7
01001000127230010131,01001000127230010131.01,2o71,1715.3199462890625,2,52,2,1,9,1,1,6,1,1,3,1,1,,0,,,0,,1,0,0,1,0,0,6,1,0,7,1,1,1,0,0,4,1,1,3,1,1,7,1,1,223,2,8
01001000127230010191,01001000127230010191.04,2o71,26489.009765625,1,23,2,4,6,0,1,6,1,1,6,1,1,3,1,0,3,1,0,4,1,0,3,1,0,6,1,0,7,1,1,3,1,0,7,1,1,,0,,11,1,1,223,2,11
01001000127230070011,01001000127230070011.02,2o71,4385.97021484375,1,47,2,2,10,1,1,3,1,1,10,1,1,4,1,0,,0,,8,1,0,7,1,0,21,1,0,7,1,1,,0,,10,1,1,1,0,1,8,1,1,223,2,10
01001000127230070101,01001000127230070101.03,2o71,32260.490234375,1,23,2,3,18.5,1,1,4,1,1,9,1,1,3,1,0,1,0,0,3,1,0,6,1,0,5.5,1,0,7,1,1,,0,,6,1,1,3,1,1,16,1,1,223,2,11
01001000127230070361,01001000127230070361.01,2o71,1446.1099853515625,2,65,2,1,,0,,,0,,3,1,1,,0,,1,0,0,1,0,0,,0,,3,1,0,7,1,1,,0,,4,1,1,,0,,7,1,1,223,2,5
01001000127230070541,01001000127230070541.01,2o71,5431.33984375,2,30,2,1,1,0,1,3,1,1,4,1,1,,0,,3,1,0,,0,,,0,,1,0,0,7,1,1,,0,,3,1,1,,0,,12,1,1,223,2,6
01001000127230130011,01001000127230130011.01,2o71,5608.2900390625,1,47,2,1,38,1,1,6,1,1,7,1,1,3,1,0,,0,,14,1,0,7,1,0,10,1,0,7,1,1,3,1,0,10,1,1,7,1,1,14,1,1,223,2,12
01001000127230130051,01001000127230130051.01,2o71,5608.2900390625,1,41,2,1,4,0,1,,0,,4,1,1,,0,,,0,,3,1,0,,0,,15,1,0,7,1,1,,0,,4,1,1,1,0,1,9,1,1,223,2,6
01001000127230130091,01001000127230130091.01,2o71,2804.14990234375,1,47,2,1,7,1,1,,0,,1,0,1,,0,,1,0,0,3,1,0,2,0,0,1,0,0,7,1,1,,0,,,0,,3,1,1,6,0,1,223,2,4
01001000127230130161,01001000127230130161.01,2o71,6945,2,30,2,1,,0,,,0,,,0,,,0,,,0,,,0,,1,0,0,2,0,0,7,1,1,,0,,1,0,1,,0,,6,0,1,223,2,1
01001000127230130241,01001000127230130241.01,2o71,1849.1199951171875,2,79,2,1,17,1,1,,0,,4,1,1,,0,,,0,,3,1,0,,0,,14,1,0,7,1,1,,0,,,0,,,0,,13,1,1,223,2,6
01001000127230220081,01001000127230220081.03,2o71,38077.94921875,1,26,2,3,10,1,1,,0,,9,1,1,,0,,1,0,0,5,1,0,2,0,0,,0,,7,1,1,8.5,1,0,,0,,,0,,12,1,1,223,2,6
01001000127230220271,01001000127230220271.01,2o71,2465.780029296875,2,36,2,1,20.5,1,1,,0,,9,1,1,3,1,0,1,0,0,7,1,0,3,1,0,1,0,0,7,1,1,,0,,8,1,1,3,1,1,25.5,1,1,223,2,9
01001000127230220331,01001000127230220331.01,2o71,2465.780029296875,2,47,2,1,3,0,1,6,1,1,10,1,1,3,1,0,,0,,7,1,0,8,1,0,10,1,0,7,1,1,3,1,0,3,1,1,3,1,1,2,0,1,223,2,10
01001000127230220391,01001000127230220391.02,2o71,8534.400390625,2,67,2,2,18.5,1,1,6,1,1,7,1,1,,0,,1,0,0,9,1,0,3,1,0,3,1,0,7,1,1,1,0,0,3,1,1,3,1,1,32,1,1,223,2,10
01001000127230320011,01001000127230320011.01,2o71,3355.199951171875,2,45,2,1,3,0,1,,0,,3,1,1,,0,,,0,,3,1,0,5.5,1,0,3,1,0,7,1,1,,0,,4,1,1,1,0,1,,0,,223,2,6
01001000127230320101,01001000127230320101.01,2o71,7044.2099609375,1,61,2,1,6,0,1,10,1,1,,0,,,0,,,0,,3,1,0,3,1,0,3,1,0,7,1,1,,0,,10,1,1,,0,,11,1,1,223,2,7
01001000127230320181,01001000127230320181.01,2o71,8723.150390625,2,30,2,1,1,0,1,,0,,2,0,1,,0,,,0,,,0,,,0,,7,1,0,7,1,1,,0,,3,1,1,3,1,1,7,1,1,223,2,5
01001000127230320261,01001000127230320261.01,2o71,3355.199951171875,2,36,2,1,7,1,1,,0,,4,1,1,3,1,0,,0,,1,0,0,,0,,3,1,0,7,1,1,,0,,1,0,1,,0,,14,1,1,223,2,6
01001000127230320351,01001000127230320351.01,2o71,8723.150390625,2,34,2,1,3,0,1,10,1,1,1,0,1,,0,,,0,,,0,,1,0,0,3,1,0,3,0,1,,0,,,0,,3,1,1,,0,,223,2,3
01001000127230320431,01001000127230320431.01,2o71,3355.199951171875,2,46,2,1,7,1,1,3,1,1,1,0,1,4,1,0,1,0,0,6,1,0,1,0,0,1,0,0,7,1,1,,0,,,0,,1,0,1,13,1,1,223,2,6
01001000127230380011,01001000127230380011.01,2o71,3890.909912109375,1,47,2,1,8,1,1,6.5,1,1,4,1,1,,0,,,0,,4,1,0,3,1,0,11.5,1,0,7,1,1,,0,,3,1,1,1,0,1,1,0,1,223,2,8
01001000127230380101,01001000127230380101.04,2o71,24091.419921875,2,25,2,4,10,1,1,,0,,4,1,1,,0,,,0,,,0,,1,0,0,7,1,0,7,1,1,,0,,7,1,1,1,0,1,3,0,1,223,2,5
01001000127230380181,01001000127230380181.02,2o71,9636.5703125,2,32,2,2,3,0,1,,0,,1,0,1,1,0,0,,0,,,0,,,0,,4,1,0,7,1,1,,0,,4,1,1,3,1,1,1,0,1,223,2,4
01001000127230380271,01001000127230380271.02,2o71,5559.77978515625,2,48,2,2,12,1,1,6,1,1,3,1,1,3,1,0,,0,,6,1,0,6,1,0,4,1,0,7,1,1,,0,,6,1,1,,0,,17.5,1,1,223,2,10
01001000127230380351,01001000127230380351.02,2o71,3706.52001953125,2,50,2,2,28,1,1,3,1,1,7,1,1,,0,,1,0,0,,0,,3,1,0,14,1,0,7,1,1,7,1,0,6,1,1,1,0,1,26,1,1,223,2,9
01001000127230380431,01001000127230380431.01,2o71,7154.77001953125,1,25,2,1,,0,,5.5,1,1,1,0,1,3,1,0,1,0,0,6,1,0,3,1,0,10,1,0,7,1,1,3,1,0,3,1,1,3,1,1,,0,,223,2,9
01001000127230380521,01001000127230380521.02,2o71,7413.0400390625,2,63,2,2,7,1,1,10,1,1,,0,,3,1,0,,0,,1,0,0,,0,,24,1,0,7,1,1,,0,,,0,,3,1,1,9,1,1,223,2,7
02002000143500020091,02002000143500020091.02,1a45,8308.0498046875,2,46,2,2,,0,,7,1,1,6,1,1,,0,,1,0,0,,0,,3,1,0,8,1,0,7,1,1,,0,,1,0,1,3,1,1,3,0,1,122,1,6
02002000143500020111,02002000143500020111.01,1a45,2769.35009765625,2,62,2,1,9,1,1,3,1,1,3,1,1,,0,,,0,,2,0,0,10,1,0,7,1,0,7,1,1,,0,,1,0,1,,0,,10,1,1,122,1,7
