folio_sel,intp,dias1,gpo_diversidad1,dias2,gpo_diversidad2,dias3,gpo_diversidad3,dias4,gpo_diversidad4,dias5,gpo_diversidad5,dias6,gpo_diversidad6,dias7,gpo_diversidad7,dias8,gpo_diversidad8,dias9,gpo_diversidad9,dias10,gpo_diversidad10,dias11,gpo_diversidad11,dias12,gpo_diversidad12,dias13,gpo_diversidad13,entidad,desc_ent,munici,locali,est_var,region,code_upm,ponde_f,sexo,edad,emb,r_estrato,area,diversidad
02002025535799990111,2,1,0,3,1,0,0,1,0,1,0,5,1,0,0,3,1,7,1,0,0,3,1,1,0,0,0,02,BAJA CALIFORNIA,002,0255,111,1,1o01,239.8000030517578,2,18,4,1,1,5
020020270348A9990061,6,7,1,0,0,3,1,0,0,3,1,6,1,3,1,4,1,7,1,5.5,1,3,1,0,0,14,1,02,BAJA CALIFORNIA,002,0270,112,1,1o31,1087.6500244140625,2,15,4,2,1,10
020020270348A9990101,4,19,1,3,1,3,1,3,1,1,0,9,1,4,1,8.5,1,7,1,3,1,9,1,3,1,7,1,02,BAJA CALIFORNIA,002,0270,112,1,1o31,2797.699951171875,2,13,4,2,1,12
020020270348A9990141,2,7,1,3,1,4,1,3,1,0,0,22,1,3,1,11,1,7,1,0,0,0,0,0,0,9,1,02,BAJA CALIFORNIA,002,0270,112,1,1o31,2192.64990234375,2,16,4,2,1,9
020020521348A9990021,4,1,0,3,1,4,1,0,0,4,1,3,1,10,1,13,1,7,1,4,1,0,0,0,0,3,0,02,BAJA CALIFORNIA,002,0521,112,1,1o31,5832.56982421875,1,15,,2,1,8
020020521348A9990041,5,17,1,10,1,11,1,7,1,0,0,3,1,3,1,11,1,7,1,1,0,3,1,7,1,22,1,02,BAJA CALIFORNIA,002,0521,112,1,1o31,708.9400024414062,1,16,,2,1,11
020020521348A9990061,3,12,1,3,1,1,0,0,0,7,1,9,1,0,0,5,1,7,1,1,0,6,1,0,0,7,1,02,BAJA CALIFORNIA,002,0521,112,1,1o31,957.3400268554688,2,12,4,2,1,8
020020521348A9990091,5,2,0,0,0,1,0,3,1,1,0,3,1,0,0,3,1,7,1,0,0,3,1,1,0,3,0,02,BAJA CALIFORNIA,002,0521,112,1,1o31,1417.8800048828125,1,16,,2,1,5
020040001393A0020271,3,13,1,0,0,1,0,3,1,1,0,0,0,0,0,0,0,7,1,1,0,4,1,5.5,1,3,0,02,BAJA CALIFORNIA,004,0001,123,1,1o61,10226.66015625,2,18,4,3,2,5
020040001393A0060131,4,0,0,0,0,1,0,0,0,2,0,9,1,8,1,11,1,0,0,3,1,0,0,3,1,0,0,02,BAJA CALIFORNIA,004,0001,123,1,1o61,27256.44921875,2,15,4,3,2,5
020040001393A0340701,5,10,1,4,1,7,1,0,0,1,0,6,1,6,1,1,0,7,1,3,1,6,1,7,1,9,1,02,BAJA CALIFORNIA,004,0001,123,1,1o61,11279.169921875,2,17,4,3,2,10
02004000139970010161,3,6,0,0,0,11.5,1,0,0,3,1,7,1,9,1,1,0,7,1,3,1,0,0,3,1,15.5,1,02,BAJA CALIFORNIA,004,0001,123,1,1o62,7983.1201171875,1,17,,3,2,8
02004000139970130541,4,3,0,3,1,1,0,0,0,2,0,2,0,3,1,4,1,7,1,3,1,7,1,0,0,3,0,02,BAJA CALIFORNIA,004,0001,123,1,1o62,25458.189453125,2,18,4,3,2,6
02004000139970340291,4,4,0,0,0,0,0,0,0,3,1,3,1,9,1,5,1,7,1,6.5,1,3,1,3,1,0,0,02,BAJA CALIFORNIA,004,0001,123,1,1o62,6727.39013671875,1,12,,3,2,8
02004000139970340341,5,11,1,0,0,5,1,0,0,1,0,0,0,8.5,1,4,1,7,1,0,0,4,1,3,1,1,0,02,BAJA CALIFORNIA,004,0001,123,1,1o62,10403.58984375,2,18,4,3,2,7
02004000153150030031,3,1,0,5.5,1,4,1,0,0,0,0,1,0,1,0,6,1,0,0,0,0,0,0,7,1,1,0,02,BAJA CALIFORNIA,004,0001,122,1,1o44,3704.320068359375,2,19,4,2,2,4
02004000153150030101,6,1,0,3,1,2,0,3,1,0,0,4,1,3,1,3,1,7,1,1,0,0,0,7,1,3,0,02,BAJA CALIFORNIA,004,0001,122,1,1o44,12104.26953125,1,13,,2,2,7
02004000153150030381,4,8,1,7,1,3,1,3,1,3,1,19.5,1,3,1,6,1,7,1,0,0,0,0,3,1,16.5,1,02,BAJA CALIFORNIA,004,0001,122,1,1o44,12104.26953125,1,14,,2,2,11
02004000153150080071,5,2,0,3,1,3,1,0,0,0,0,2,0,3,1,12.5,1,7,1,0,0,3,1,5.5,1,9,1,02,BAJA CALIFORNIA,004,0001,122,1,1o44,4650.72998046875,2,16,4,2,2,8
02004000153150150071,3,21,1,4,1,4,1,7,1,3,1,15,1,8.5,1,9,1,7,1,3,1,1,0,3,1,14,1,02,BAJA CALIFORNIA,004,0001,122,1,1o44,3588.43994140625,2,12,4,2,2,12
02004000153150220031,5,6,0,3,1,5,1,0,0,0,0,10,1,5,1,3,1,7,1,3,1,6,1,3,1,0,0,02,BAJA CALIFORNIA,004,0001,122,1,1o44,7082.85986328125,1,13,,2,2,9
02004000153150290021,2,3,0,3,1,0,0,3,1,2,0,0,0,0,0,3,1,7,1,0,0,0,0,3,1,0,0,02,BAJA CALIFORNIA,004,0001,122,1,1o44,22907.83984375,1,18,,2,2,5
02004190382010010401,3,7,1,3,1,3,1,0,0,2,0,6,1,8.5,1,4,1,7,1,1,0,5.5,1,3,1,5,0,02,BAJA CALIFORNIA,004,1903,122,1,1o45,47299.19921875,1,17,,2,2,9
02004190382010040091,4,10,1,6,1,2,0,6,1,4,1,1,0,9,1,9,1,7,1,3,1,3,1,8.5,1,4,0,02,BAJA CALIFORNIA,004,1903,122,1,1o45,18300.970703125,1,18,,2,2,10
02004190382010160041,5,2,0,3,1,1,0,1,0,0,0,6,1,2,0,8,1,1,0,0,0,0,0,3,1,2,0,02,BAJA CALIFORNIA,004,1903,122,1,1o45,16593.279296875,2,15,4,2,2,4
02004190382010160081,4,1,0,0,0,1,0,1,0,2,0,0,0,2,0,4,1,7,1,1,0,4,1,3,1,3,0,02,BAJA CALIFORNIA,004,1903,122,1,1o45,16933.080078125,1,15,,2,2,4
02004190382010200311,3,7,1,0,0,4,1,3,1,0,0,7,1,3,1,3,1,7,1,1,0,10,1,3,1,1,0,02,BAJA CALIFORNIA,004,1903,122,1,1o45,17053.26953125,2,15,4,2,2,9
02004190382010270011,2,8,1,3,1,6,1,6,1,1,0,4,1,9.5,1,3,1,7,1,3,1,10,1,3,1,1,0,02,BAJA CALIFORNIA,004,1903,122,1,1o45,8859.150390625,1,14,,2,2,11
02004190382010270131,2,9.5,1,10,1,0,0,0,0,0,0,0,0,0,0,1,0,7,1,3,1,1,0,7,1,0,0,02,BAJA CALIFORNIA,004,1903,122,1,1o45,5422.41015625,2,17,4,2,2,5
02004190382010350181,5,2,0,6,1,2,0,1,0,1,0,0,0,4,1,7,1,7,1,1,0,3,1,7,1,2,0,02,BAJA CALIFORNIA,004,1903,122,1,1o45,11789.400390625,2,14,4,2,2,6
02004190382010350281,3,13,1,7,1,3,1,3,1,1,0,1,0,6,1,3,1,7,1,2,0,3,1,1,0,7,1,02,BAJA CALIFORNIA,004,1903,122,1,1o45,7859.60009765625,2,12,4,2,2,9
03001000128260030031,2,4,0,5.5,1,5,1,3,1,2,0,1,0,0,0,1,0,7,1,3,1,0,0,5.5,1,9,1,03,BAJA CALIFORNIA SUR,001,0001,122,1,1o46,1692.02001953125,2,14,4,2,2,7
03001000128260030041,2,1,0,0,0,4,1,3,1,8,1,3,1,6,1,5.5,1,7,1,0,0,6,1,3,1,7,1,03,BAJA CALIFORNIA SUR,001,0001,122,1,1o46,3356.340087890625,1,15,,2,2,10
03001000128260030051,2,5,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,7,1,0,0,11,1,0,0,0,0,03,BAJA CALIFORNIA SUR,001,0001,122,1,1o46,1804.5799560546875,2,17,4,2,2,3
03001000128260030081,5,12,1,7,1,1,0,0,0,1,0,14,1,4,1,7,1,7,1,1,0,3,1,0,0,15,1,03,BAJA CALIFORNIA SUR,001,0001,122,1,1o46,1692.02001953125,2,14,4,2,2,8
03001000128260080131,4,4,0,3,1,4,1,0,0,2,0,0,0,7,1,5.5,1,7,1,0,0,3,1,0,0,6,0,03,BAJA CALIFORNIA SUR,001,0001,122,1,1o46,4646.27001953125,1,13,,2,2,6
03001000128260080161,5,8,1,3,1,5,1,3,1,3,1,0,0,4,1,6,1,7,1,3,1,3,1,3,1,10,1,03,BAJA CALIFORNIA SUR,001,0001,122,1,1o46,4664.68994140625,1,19,,2,2,12
03001000128260130051,3,1,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,7,1,3,1,4,1,0,0,3,0,03,BAJA CALIFORNIA SUR,001,0001,122,1,1o46,11956.919921875,2,14,4,2,2,3
03001000128260130131,5,6,0,0,0,3,1,3,1,0,0,1,0,0,0,2,0,7,1,3,1,0,0,0,0,3,0,03,BAJA CALIFORNIA SUR,001,0001,122,1,1o46,3098.9599609375,2,15,4,2,2,4
03001000128260130151,2,10,1,3,1,0,0,3,1,2,0,17,1,0,0,7,1,7,1,1,0,1,0,0,0,6,0,03,BAJA CALIFORNIA SUR,001,0001,122,1,1o46,12752.3603515625,2,16,4,2,2,6
03001000128260180081,3,8.5,1,3,1,9,1,3,1,1,0,0,0,7,1,3,1,7,1,0,0,10,1,7,1,28,1,03,BAJA CALIFORNIA SUR,001,0001,122,1,1o46,4646.27001953125,1,12,,2,2,10
03001000128260180191,3,1,0,7,1,0,0,3,1,1,0,1,0,3,1,7,1,7,1,0,0,1,0,0,0,5,0,03,BAJA CALIFORNIA SUR,001,0001,122,1,1o46,4664.68994140625,1,19,,2,2,5
03001000128260230051,3,17,1,7,1,6,1,3,1,0,0,26.5,1,0,0,6,1,7,1,3,1,3,1,3,1,13,1,03,BAJA CALIFORNIA SUR,001,0001,122,1,1o46,2641.159912109375,2,15,4,2,2,11
03001000128260230091,1,6.5,0,7,1,8,1,5.5,1,3,1,3,1,4,1,10,1,7,1,4,1,6,1,7,1,11.5,1,03,BAJA CALIFORNIA SUR,001,0001,122,1,1o46,5942.4599609375,1,19,,2,2,12
03001000128260230131,3,2,0,3,1,7,1,3,1,3,1,10,1,6,1,9,1,1,0,0,0,3,1,0,0,4,0,03,BAJA CALIFORNIA SUR,001,0001,122,1,1o46,11837.990234375,1,13,,2,2,8
03001000128260340051,3,9,1,0,0,0,0,0,0,2,0,7,1,7,1,0,0,7,1,0,0,7,1,0,0,0,0,03,BAJA CALIFORNIA SUR,001,0001,122,1,1o46,2303.280029296875,2,15,4,2,2,5
03003033625919990011,3,6,0,7,1,7,1,0,0,4,1,4,1,1,0,2,0,7,1,1,0,14,1,1,0,18.5,1,03,BAJA CALIFORNIA SUR,003,0336,111,1,1o02,874.5499877929688,1,15,,1,1,7
03003033625919990021,3,1,0,7,1,6,1,3,1,4,1,4,1,0,0,13,1,7,1,10,1,0,0,0,0,3,0,03,BAJA CALIFORNIA SUR,003,0336,111,1,1o02,922.239990234375,2,16,4,1,1,8
03003033625919990081,3,2,0,0,0,4,1,3,1,1,0,10,1,0,0,9.5,1,7,1,0,0,0,0,1,0,0,0,03,BAJA CALIFORNIA SUR,003,0336,111,1,1o02,1498.56005859375,1,16,,1,1,5
03003033625919990091,4,13,1,7,1,6,1,3,1,0,0,7,1,0,0,3,1,7,1,3,1,3,1,0,0,3,0,03,BAJA CALIFORNIA SUR,003,0336,111,1,1o02,1009.739990234375,2,14,4,1,1,9
03003033625919990101,2,6,0,7,1,6,1,4,1,2,0,3,1,6,1,11.5,1,7,1,8.5,1,0,0,0,0,18.5,1,03,BAJA CALIFORNIA SUR,003,0336,111,1,1o02,1498.56005859375,1,17,,1,1,9
03003033625919990111,4,4,0,3,1,4,1,0,0,1,0,0,0,4,1,8.5,1,7,1,13,1,3,1,1,0,3,0,03,BAJA CALIFORNIA SUR,003,0336,111,1,1o02,1536.4599609375,1,12,,1,1,7
03003033625919990141,4,5,0,5.5,1,7,1,3,1,1,0,0,0,1,0,6,1,7,1,0,0,9,1,0,0,10,1,03,BAJA CALIFORNIA SUR,003,0336,111,1,1o02,504.8699951171875,2,12,4,1,1,7
03003069725919990021,2,0,0,5.5,1,3,1,0,0,3,1,4,1,3,1,8.5,1,7,1,1,0,11.5,1,0,0,7,1,03,BAJA CALIFORNIA SUR,003,0697,111,1,1o02,2465.510009765625,1,15,,1,1,9
03003069725919990061,5,9,1,3,1,8,1,0,0,6,1,5,1,1,0,7,1,5.5,0,1,0,6,1,0,0,8,1,03,BAJA CALIFORNIA SUR,003,0697,111,1,1o02,1423.3199462890625,2,14,4,1,1,8
03003069725919990111,3,9,1,3,1,2,0,3,1,0,0,4,1,8,1,4,1,7,1,3,1,3,1,1,0,3,0,03,BAJA CALIFORNIA SUR,003,0697,111,1,1o02,948.8800048828125,2,13,4,1,1,9
03003069725919990151,4,1,0,1,0,4,1,1,0,0,0,0,0,0,0,7,1,7,1,0,0,0,0,1,0,12,1,03,BAJA CALIFORNIA SUR,003,0697,111,1,1o02,704.1199951171875,1,18,,1,1,4
03003102025919990021,2,8,1,0,0,4,1,3,1,0,0,4,1,6.5,1,5.5,1,3,0,1,0,4,1,3,1,7,1,03,BAJA CALIFORNIA SUR,003,1020,111,1,1o02,1191.1099853515625,1,17,,1,1,9
03003102025919990121,2,1,0,3,1,1,0,0,0,0,0,4,1,7,1,5,1,3,0,1,0,7,1,3,1,4,0,03,BAJA CALIFORNIA SUR,003,1020,111,1,1o02,802.5800170898438,2,13,4,1,1,6
04003000111400011051,4,2,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,0,2,0,2,0,0,0,04,CAMPECHE,003,0001,422,4,4o61,37741.73828125,2,15,4,2,2,2
04003000111400020541,3,5.5,0,0,0,12,1,0,0,6.5,1,0,0,4,1,10,1,7,1,7,1,0,0,3,1,0,0,04,CAMPECHE,003,0001,422,4,4o61,4331.509765625,1,17,,2,2,7
04003000111400120171,4,4,0,0,0,8,1,0,0,1,0,1,0,5,1,5,1,7,1,0,0,10,1,1,0,0,0,04,CAMPECHE,003,0001,422,4,4o61,4377.2099609375,2,16,4,2,2,5
04011054601069990021,4,0,0,0,0,4,1,0,0,1,0,0,0,4,1,9.5,1,7,1,0,0,0,0,7,1,3,0,04,CAMPECHE,011,0546,411,4,4o01,1477.47998046875,1,16,,1,1,5
04011054601069990051,3,0,0,6,1,3,1,0,0,0,0,0,0,0,0,12.5,1,7,1,0,0,0,0,3,1,7,1,04,CAMPECHE,011,0546,411,4,4o01,2497.719970703125,2,16,4,1,1,6
04011054601069990071,6,1,0,1,0,3,1,0,0,0,0,3,1,0,0,10,1,3,0,0,0,0,0,3,1,1,0,04,CAMPECHE,011,0546,411,4,4o01,5674.75,1,13,,1,1,4
04011054601069990081,6,0,0,1,0,0,0,0,0,0,0,1,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,04,CAMPECHE,011,0546,411,4,4o01,2954.969970703125,1,17,,1,1,1
04011054601069990091,4,2,0,0,0,3,1,0,0,0,0,0,0,3,1,8,1,7,1,1,0,0,0,3,1,4,0,04,CAMPECHE,011,0546,411,4,4o01,4630.14013671875,2,15,4,1,1,5
04011054601069990101,4,14.5,1,3,1,2,0,0,0,0,0,0,0,3,1,7,1,7,1,0,0,0,0,3,1,1,0,04,CAMPECHE,011,0546,411,4,4o01,5593.68017578125,1,15,,1,1,6
04011054601069990121,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,7,1,0,0,0,0,0,0,0,0,04,CAMPECHE,011,0546,411,4,4o01,4432.4501953125,1,18,,1,1,2
04011054601069990131,4,2,0,3,1,2,0,0,0,0,0,1,0,0,0,9,1,7,1,0,0,0,0,1,0,1,0,04,CAMPECHE,011,0546,411,4,4o01,7764.009765625,2,14,4,1,1,3
04011054601069990151,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,04,CAMPECHE,011,0546,411,4,4o01,6244.2900390625,2,18,4,1,1,1
04011054601069990161,2,3,0,3,1,0,0,0,0,1,0,3,1,4,1,14,1,3,0,1,0,0,0,1,0,0,0,04,CAMPECHE,011,0546,411,4,4o01,1891.5799560546875,1,13,,1,1,4
04011083501069990021,3,1,0,7,1,2,0,0,0,1,0,3,1,1,0,6,1,7,1,0,0,1,0,7,1,3,0,04,CAMPECHE,011,0835,411,4,4o01,3515.6201171875,1,15,,1,1,5
04011083501069990031,3,12,1,10,1,3,1,0,0,0,0,0,0,0,0,10,1,7,1,0,0,0,0,0,0,0,0,04,CAMPECHE,011,0835,411,4,4o01,1177.3599853515625,2,16,4,1,1,5
